,instructor_lname,instructor_fname,Catalog_ID,program_name,program_code,Title,SECTION,CRN,SEMESTER,YEAR,Act,Cap,Rem,timecodes
103, DeFelice,MaryAnn,SE 0436,,,Administration of Educational Tests,01,76047.0,Fall,2015.0,9.0,20.0,11.0,['W 0455pm-0655pm 09/02-12/16 CNS 204']
104,Zera,David A.,SE 0436,,,Administration of Educational Tests,01,33848.0,Spring,2015.0,4.0,20.0,16.0,['M 0455pm-0655pm 01/26-05/04 CNS 208']
105, LaMastra,Philip,SW 0399,,,Algorithms,A,33219.0,Spring,2015.0,8.0,10.0,2.0,['R 0630pm-0900pm 01/20-04/30 BNW 129B']
106, Davis,Wesley,FTM 0105B,,,American Film: Decades - The Radical 1960s,A,76866.0,Fall,2015.0,23.0,23.0,0.0,['T 0500pm-0830pm 09/01-12/07 XVR 13']
107,Martin,Alyson Margaret,SE 0500,,,Autism Spectrum Disorders: Theories and Interventions,01,76971.0,Fall,2015.0,17.0,20.0,3.0,['M 0715pm-0915pm 09/14-12/14 CNS 104']
108,Orazietti,John J.,NSAN 0679,,,Clinical Correlation Conference I,D01,55293.0,Summer,2015.0,11.0,11.0,0.0,['M 0400pm-0600pm 05/18-08/21 BH ']
109,Orazietti,John J.,NSAN 0681,,,Clinical Correlation Conference II,01,76591.0,Fall,2015.0,11.0,11.0,0.0,['R 0330pm-0530pm 09/01-12/18 BNW 127']
110,Bogel,Gayle A.,MD 0099,,,Comp Exam Educ Technology,01,32502.0,Spring,2015.0,1.0,18.0,17.0,['S 0830am-1230pm 03/21-03/21 DMH 148']
111,Bogel,Gayle A.,MD 0099,,,Comp Exam School Library Media,02,32503.0,Spring,2015.0,1.0,18.0,17.0,['S 0830am-1230pm 03/21-03/21 DMH 148']
112,De Abreu,Belinha S.,MD 0433,,,Critical Viewing of Television,01,76942.0,Fall,2015.0,5.0,18.0,13.0,['W 0455pm-0655pm 09/02-09/02 DMH 148']
113,Denenberg,Jeffrey N.,ECE 0485,,,Digital Communications,01,33826.0,Spring,2015.0,26.0,30.0,4.0,['T 0630pm-0900pm 01/20-04/30 BNW 334']
114, Govil,Pradeep,EE 0207,,,Electronic Materials,A,76728.0,Fall,2015.0,0.0,4.0,4.0,['W 0630pm-0900pm 09/01-12/07 BNW 138']
115,Mascarenhas,Brendan S.,ME 0425,,,Engineering Applications of Numerical Methods,01,75960.0,Fall,2015.0,4.0,10.0,6.0,['T 0630pm-0900pm 09/01-12/15 BNW 127']
116, Balaji,Uma,ME 0425,,,Engineering Applications of Numerical Methods,01,33810.0,Spring,2015.0,3.0,10.0,7.0,['TF 1100am-1215pm 01/20-05/08 BNW 341']
117, Jancosek Torff,Sarah,EG 0410,,,English Skills for Engineering Graduate Students,01,76520.0,Fall,2015.0,17.0,25.0,8.0,['M 0200pm-0330pm 09/01-12/07 BNW 335']
118, Jancosek Torff,Sarah,EG 0410,,,English Skills for Engineering Graduate Students,02,34042.0,Spring,2015.0,15.0,20.0,5.0,['M 0330pm-0530pm 01/20-05/08 BNW 340']
119,Fortmueller,Kate L.,FTM 0106H,,,Film Genres: The Hollywood Musical,A,55207.0,Summer,2015.0,11.0,25.0,14.0,['MTR 0645pm-0955pm 07/06-07/30 CNS 6']
120,Lerner,David P.,FTM 0106A,,,Film Genres: The Western,A,76867.0,Fall,2015.0,27.0,25.0,-2.0,['W 0200pm-0455pm 09/01-12/07 XVR 13']
121, Kiem,Kamala,FE 0001,,,First Year Exp: Commuters,E,75082.0,Fall,2015.0,15.0,27.0,12.0,['M 0300pm-0415pm 09/01-12/07 DSB 2109A']
122, Kiem,Kamala,FE 0001,,,First Year Exp: Cornerstone,AA,75104.0,Fall,2015.0,28.0,27.0,-1.0,['W 1100am-1215pm 09/01-12/07 CNS 206']
123, Kiem,Kamala,FE 0001,,,First Year Exp: Leadership,U,75098.0,Fall,2015.0,20.0,27.0,7.0,['R 0200pm-0315pm 09/01-12/07 BNW 335']
124, Kiem,Kamala,FE 0001,,,First Year Exp: Service/JUHAN,YY,76940.0,Fall,2015.0,8.0,15.0,7.0,['W 0100pm-0300pm 09/01-12/07 CNS 200']
125, Kiem,Kamala,FE 0001,,,First Year Exp: Social Justice,T,75097.0,Fall,2015.0,16.0,27.0,11.0,['R 0100pm-0215pm 09/01-12/07 MCK 101']
126, Kiem,Kamala,FE 0001,,,First Year Experience,A,75078.0,Fall,2015.0,20.0,27.0,7.0,['W 1100am-1215pm 09/01-12/07 CNS 204']
127, Kiem,Kamala,FE 0001,,,First Year Experience: Career,J,75087.0,Fall,2015.0,18.0,27.0,9.0,['T 0300pm-0415pm 09/01-12/07 BNW 139']
128, Kiem,Kamala,FE 0001,,,First Year Experience: Magis,FF,75109.0,Fall,2015.0,24.0,27.0,3.0,['T 1100am-1215pm 09/01-12/07 CNS 206']
129, Kiem,Kamala,FE 0001,,,First Year Experience: Men,KK,75114.0,Fall,2015.0,19.0,27.0,8.0,['W 1000am-1115am 09/01-12/07 LYL 2']
130, Kiem,Kamala,FE 0001,,,First Year Experience: Music,N,75091.0,Fall,2015.0,19.0,27.0,8.0,['W 1200pm-0115pm 09/01-12/07 JGS 25']
131, Kiem,Kamala,FE 0001,,,First Year Experience: Service,X,75101.0,Fall,2015.0,12.0,15.0,3.0,['W 0930am-1130am 09/01-12/07 CNS 200']
132, Kiem,Kamala,FE 0001,,,First Year Experience: Sports,S,75096.0,Fall,2015.0,22.0,27.0,5.0,['R 1200pm-0115pm 09/01-12/07 CNS 108']
133, Kiem,Kamala,FE 0001,,,First Year Experience: Women,K,75088.0,Fall,2015.0,14.0,27.0,13.0,['W 1000am-1115am 09/01-12/07 DMH 131']
134, Kiem,Kamala,FE 0001,,,First Year Experience:Creative,VV,76937.0,Fall,2015.0,18.0,27.0,9.0,['F 1100am-1215pm 09/01-12/07 MCA 206']
135, Mendelsohn,John,SA 0010,,,Foundation: Interpreting the Self,A,32290.0,Spring,2015.0,16.0,18.0,2.0,['T 0200pm-0430pm 01/20-04/30 LYL 22']
136, Govindaraja,Bama,SW 0131,,,Fundamentals of Programming,B,34082.0,Spring,2015.0,10.0,14.0,4.0,['F 0630pm-0900pm 01/20-04/30 BNW 166']
137, Yoo,Wook-Sung,SW 0131,,,Fundamentals of Programming for Engineers,A,32849.0,Spring,2015.0,10.0,10.0,0.0,['MR 1100am-1215pm 01/20-04/30 BNW 166']
