,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
131,BI,Biology,987,2014.0,Fall,Fall2014,2014_2015,BI 0352L,Fundamentals of Microbiology Lab,,,,,,
132,BI,Biology,854,2014.0,Fall,Fall2014,2014_2015,BI 0354,Molecular Biology,,,,,,
133,BI,Biology,867,2015.0,Spring,Spring2015,2014_2015,BI 0357,General Virology,,,,,,
134,BI,Biology,992,2014.0,Fall,Fall2014,2014_2015,BI 0362,Marine Invertebrate Zoology,,,,,,
135,BI,Biology,993,2014.0,Fall,Fall2014,2014_2015,BI 0362L,Marine Invertebrate Zoology Lab,,,,,,
136,BI,Biology,1011,2014.0,Fall,Fall2014,2014_2015,BI 0365,Evolutionary Biology,,,,,,
137,BI,Biology,1012,2014.0,Fall,Fall2014,2014_2015,BI 0365L,Evolutionary Biology Lab,,,,,,
138,BI,Biology,959,2015.0,Spring,Spring2015,2014_2015,BI 0366,Ornithology,,,,,,
139,BI,Biology,960,2015.0,Spring,Spring2015,2014_2015,BI 0366L,Ornithology Lab,,,,,,
140,BI,Biology,918,2014.0,Fall,Fall2014,2014_2015,BI 0372,Environmental Toxicology,,,,,,
141,BI,Biology,919,2014.0,Fall,Fall2014,2014_2015,BI 0372L,Environmental Toxicology Lab,,,,,,
142,BI,Biology,704,2015.0,Spring,Spring2015,2014_2015,BI 0381C,Seminar: Bacterial Pathogenesis,,,,,,
143,IN,Interior Design,3698,2015.0,Summer,Summer2015,2014_2015,IN 0107,Color Design,,,,,,
144,IN,Interior Design,7381,2015.0,Spring,Spring2015,2014_2015,IN 0109,CADD: Computer-Aided Design and Drafting,,,,,,
145,IN,Interior Design,3682,2014.0,Fall,Fall2014,2014_2015,IN 0110,Interior Design I,,,,,,
146,IN,Interior Design,8420,2015.0,Spring,Spring2015,2014_2015,IN 0111,Textiles for Interiors,,,,,,
147,IN,Interior Design,3718,2014.0,Fall,Fall2014,2014_2015,IN 0113,History of Furniture I,,,,,,
148,IN,Interior Design,8428,2015.0,Spring,Spring2015,2014_2015,IN 0117,History of Architecture and Interior Design,,,,,,
149,IN,Interior Design,3725,2014.0,Fall,Fall2014,2014_2015,IN 0119,Drawing and Presentation,,,,,,
150,IN,Interior Design,3731,2014.0,Fall,Fall2014,2014_2015,IN 0121,Sustainable Design,,,,,,
151,IN,Interior Design,3703,2015.0,Summer,Summer2015,2014_2015,IN 0122,Rendering,,,,,,
152,IN,Interior Design,3742,2015.0,Spring,Spring2015,2014_2015,IN 0211,Interior Design II,,,,,,
153,IN,Interior Design,3729,2014.0,Fall,Fall2014,2014_2015,IN 0212,Interior Design III,,,,,,
154,IN,Interior Design,3700,2015.0,Summer,Summer2015,2014_2015,IN 0215,Lighting for Interiors,,,,,,
155,IN,Interior Design,8430,2015.0,Spring,Spring2015,2014_2015,IN 0216,Kitchen and Bath Design,,,,,,
156,IN,Interior Design,3684,2014.0,Fall,Fall2014,2014_2015,IN 0220,Perspective Techniques,,,,,,
157,IN,Interior Design,3680,2014.0,Fall,Fall2014,2014_2015,IN 0221,Business of Interior Design,,,,,,
158,TA,Theatre,6907,2014.0,Fall,Fall2014,2014_2015,TA 0011,Introduction to Theatre,,,,,,
159,TA,Theatre,6913,2014.0,Fall,Fall2014,2014_2015,TA 0030,Acting I,,,,,,
160,TA,Theatre,6923,2014.0,Fall,Fall2014,2014_2015,TA 0094,Theatre Fairfield: Performance Practicum: Workshop,,,,,,
161,TA,Theatre,352,2014.0,Fall,Fall2014,2014_2015,TA 0111,World Theatre: 1800 to Tomorrow,,,,,,
162,TA,Theatre,6935,2014.0,Fall,Fall2014,2014_2015,TA 0135,Modern and Contemporary Dance,,,,,,
163,TA,Theatre,6936,2015.0,Spring,Spring2015,2014_2015,TA 0138,Folk and Social Dance,,,,,,
164,TA,Theatre,6925,2014.0,Fall,Fall2014,2014_2015,TA 0150,Stagecraft,,,,,,
165,TA,Theatre,6910,2015.0,Spring,Spring2015,2014_2015,TA 0153,Makeup & Costume Construction,,,,,,
166,TA,Theatre,6924,2014.0,Fall,Fall2014,2014_2015,TA 0155,Design I,,,,,,
167,TA,Theatre,358,2015.0,Spring,Spring2015,2014_2015,TA 0215,American Musical Theatre: History and Practice,,,,,,
168,TA,Theatre,6919,2015.0,Spring,Spring2015,2014_2015,TA 0231,Acting for the Camera,,,,,,
169,TA,Theatre,351,2014.0,Fall,Fall2014,2014_2015,TA 0240,Technique and Art in Directing,,,,,,
170,TX,Taxation,234,2015.0,Summer,Summer2015,2014_2015,TX 0500,Tax Research,,,,,,
171,TX,Taxation,6904,2014.0,Fall,Fall2014,2014_2015,TX 0502,Tax of Property Transactions,,,,,,
172,TX,Taxation,190,2014.0,Fall,Fall2014,2014_2015,TX 0510,Entity Taxation,,,,,,
173,TX,Taxation,7791,2015.0,Spring,Spring2015,2014_2015,TX 0530,Partnership Taxation,,,,,,
174,TX,Taxation,8294,2015.0,Spring,Spring2015,2014_2015,TX 0540,State and Local Taxation,,,,,,
175,TX,Taxation,211,2014.0,Fall,Fall2014,2014_2015,TX 0542,International Taxation,,,,,,
176,TX,Taxation,224,2015.0,Spring,Spring2015,2014_2015,TX 0550,Tax Planning,,,,,,
177,SL,TESOL and Bilingual Education,7783,2015.0,Summer,Summer2015,2014_2015,SL 0421,Linguistics for Lang Teachers,,,,,,
178,SL,TESOL and Bilingual Education,8517,2015.0,Summer,Summer2015,2014_2015,SL 0422,Teaching Grammar in Second Language Settings,,,,,,
179,SL,TESOL and Bilingual Education,6883,2014.0,Fall,Fall2014,2014_2015,SL 0423,Principles of Bilingualism,,,,,,
