,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
1591,2016.0,Spring,Spring2016,2015_2016,CO 0341,,,End of Life Communication,,,,,,
1610,2015.0,Fall,Fall2015,2015_2016,CO 0342,,,Technoculture and Information Society,,,,,,
1608,2015.0,Fall,Fall2015,2015_2016,CO 0345,,,Relational Communication,,,,,,
1551,2015.0,Fall,Fall2015,2015_2016,CO 0346,,,Communication and Spirituality,,,,,,
1523,2016.0,Spring,Spring2016,2015_2016,CO 0400,,,"Communication Philosophies, Theories, and Research Traditions",,,,,,
1607,2015.0,Fall,Fall2015,2015_2016,CO 0420,,,Communication Research Design and Methodologies,,,,,,
1493,2015.0,Fall,Fall2015,2015_2016,CO 0497C,,,Technoculture and Information Society,,,,,,
1525,2016.0,Spring,Spring2016,2015_2016,CO 0497J,,,Crisis Communication,,,,,,
1609,2015.0,Fall,Fall2015,2015_2016,CO 0497N,,,Relational Communication,,,,,,
1618,2016.0,Spring,Spring2016,2015_2016,CO 0497O,,,Conflict Communication,,,,,,
1601,2016.0,Summer,Summer2016,2015_2016,CO 0500,,,Interpersonal Communication,,,,,,
1577,2015.0,Fall,Fall2015,2015_2016,CO 0522,,,Communication and Organizational Leadership,,,,,,
1581,2015.0,Fall,Fall2015,2015_2016,CO 0524,,,Negotiation and Conflict Management: Communication Approaches,,,,,,
1543,2016.0,Spring,Spring2016,2015_2016,CO 0537,,,New Media Studies,,,,,,
2309,2016.0,Spring,Spring2016,2015_2016,CR 0245,,,Digital Design I,,,,,,
1639,2016.0,Spring,Spring2016,2015_2016,CR 0245L,,,Digital Design I Lab,,,,,,
1629,2015.0,Fall,Fall2015,2015_2016,CR 0246,,,Digital Electronics Design II,,,,,,
8398,2016.0,Spring,Spring2016,2015_2016,CR 0320,,,Computer Networks,,,,,,
7085,2015.0,Fall,Fall2015,2015_2016,CR 0325,,,Computer Graphics,,,,,,
2300,2015.0,Fall,Fall2015,2015_2016,CR 0331,,,Biomedical Signal Processing,,,,,,
2307,2016.0,Spring,Spring2016,2015_2016,CR 0332,,,Biomedical Imaging,,,,,,
7095,2015.0,Fall,Fall2015,2015_2016,CR 0346,,,Computer System Architecture,,,,,,
7112,2015.0,Fall,Fall2015,2015_2016,CS 0101,,,Introduction to Computing,,,,,,
7118,2016.0,Spring,Spring2016,2015_2016,CS 0131,,,Fundamentals of Programming,,,,,,
6466,2015.0,Fall,Fall2015,2015_2016,CS 0232,,,Data Structures,,,,,,
6482,2016.0,Spring,Spring2016,2015_2016,CS 0331,,,Operating Systems,,,,,,
6506,2016.0,Spring,Spring2016,2015_2016,CS 0343,,,Analysis of Algorithms,,,,,,
1834,2015.0,Fall,Fall2015,2015_2016,EC 0011,,,Introduction to Microeconomics,,,,,,
1820,2016.0,Spring,Spring2016,2015_2016,EC 0012,,,Introduction to Macroeconomics,,,,,,
1976,2015.0,Fall,Fall2015,2015_2016,EC 0114,,,"The Economics of Race, Class, and Gender in the American Workplace",,,,,,
1910,2016.0,Spring,Spring2016,2015_2016,EC 0150,,,Media Economics,,,,,,
1822,2016.0,Spring,Spring2016,2015_2016,EC 0185,,,Regional Economic Development,,,,,,
1974,2015.0,Fall,Fall2015,2015_2016,EC 0204,,,Intermediate Microeconomic Theory,,,,,,
1975,2015.0,Fall,Fall2015,2015_2016,EC 0204L,,,Intermediate Microeconomic Theory Lab,,,,,,
1846,2016.0,Spring,Spring2016,2015_2016,EC 0205,,,Intermediate Macroeconomic Theory,,,,,,
1848,2016.0,Spring,Spring2016,2015_2016,EC 0205L,,,Intermediate Macroeconomic Theory Lab,,,,,,
1835,2015.0,Fall,Fall2015,2015_2016,EC 0210,,,Money and Banking,,,,,,
1983,2016.0,Spring,Spring2016,2015_2016,EC 0224,,,Labor Economics and Labor Relations,,,,,,
7131,2016.0,Spring,Spring2016,2015_2016,EC 0225,,,Environmental Economics,,,,,,
1973,2015.0,Fall,Fall2015,2015_2016,EC 0230,,,Comparative Economic Systems,,,,,,
1819,2016.0,Spring,Spring2016,2015_2016,EC 0231,,,International Trade,,,,,,
1864,2015.0,Fall,Fall2015,2015_2016,EC 0235,,,Economic Development of Third World Nations,,,,,,
1982,2016.0,Spring,Spring2016,2015_2016,EC 0270,,,Engineering Economics,,,,,,
1894,2016.0,Spring,Spring2016,2015_2016,EC 0276,,,Public Finance,,,,,,
1920,2015.0,Fall,Fall2015,2015_2016,EC 0278,,,Statistics,,,,,,
1921,2015.0,Fall,Fall2015,2015_2016,EC 0278L,,,Statistics Lab,,,,,,
1919,2015.0,Fall,Fall2015,2015_2016,EC 0290,,,Mathematical Economics,,,,,,
1845,2016.0,Spring,Spring2016,2015_2016,EC 0320,,,Financial Markets and Institutions,,,,,,
1909,2016.0,Spring,Spring2016,2015_2016,EC 0380,,,Econometrics,,,,,,
1836,2015.0,Fall,Fall2015,2015_2016,EC 0398,,,Senior Seminar,,,,,,
7207,2015.0,Fall,Fall2015,2015_2016,ECE 0405,,,Electronic Materials,,,,,,
1627,2015.0,Fall,Fall2015,2015_2016,ECE 0406,,,Advanced Digital Design,,,,,,
2215,2015.0,Fall,Fall2015,2015_2016,ECE 0415,,,Engineering Applications of Numerical Methods,,,,,,
2303,2015.0,Fall,Fall2015,2015_2016,ECE 0420,,,Readings in Electrical & Computer Engineering,,,,,,
7911,2016.0,Summer,Summer2016,2015_2016,ECE 0423,,,Thermal Management of Microdevices,,,,,,
2301,2015.0,Fall,Fall2015,2015_2016,ECE 0431,,,Biomedical Signal Processing,,,,,,
2308,2016.0,Spring,Spring2016,2015_2016,ECE 0432,,,Biomedical Imaging,,,,,,
2328,2016.0,Spring,Spring2016,2015_2016,ECE 0435,,,Microelectronics,,,,,,
7086,2015.0,Fall,Fall2015,2015_2016,ECE 0440,,,Computer Graphics,,,,,,
7096,2015.0,Fall,Fall2015,2015_2016,ECE 0441,,,Computer Systems Architecture,,,,,,
2251,2015.0,Fall,Fall2015,2015_2016,ECE 0448,,,Embedded Microcontrollers,,,,,,
2253,2015.0,Fall,Fall2015,2015_2016,ECE 0448L,,,Embedded Microcontrollers Lab,,,,,,
2272,2015.0,Fall,Fall2015,2015_2016,ECE 0451,,,Nanoelectronics I,,,,,,
8399,2016.0,Spring,Spring2016,2015_2016,ECE 0460,,,Network Programming,,,,,,
2296,2016.0,Summer,Summer2016,2015_2016,ECE 0461,,,Green Power Generation,,,,,,
8355,2016.0,Spring,Spring2016,2015_2016,ECE 0470,,,Network Embedded Systems,,,,,,
2354,2016.0,Spring,Spring2016,2015_2016,ECE 0479,,,Communication Systems,,,,,,
2273,2015.0,Fall,Fall2015,2015_2016,ECE 0480,,,Wireless Systems I,,,,,,
7212,2015.0,Fall,Fall2015,2015_2016,ECE 0495,,,Power Generation and Distribution,,,,,,
2285,2016.0,Spring,Spring2016,2015_2016,ECE 0505,,,Advanced Power Electronics,,,,,,
