,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
129,BI,Biology,6997,2015.0,Fall,Fall2015,2015_2016,BI 0325L,Biochemistry II Lab,,,,,,
130,BI,Biology,888,2016.0,Spring,Spring2016,2015_2016,BI 0330,Nutrient Metabolism,,,,,,
131,BI,Biology,843,2016.0,Spring,Spring2016,2015_2016,BI 0342,Developmental Biology,,,,,,
132,BI,Biology,844,2016.0,Spring,Spring2016,2015_2016,BI 0342L,Developmental Biology Lab,,,,,,
133,BI,Biology,700,2015.0,Fall,Fall2015,2015_2016,BI 0352,Fundamentals of Microbiology,,,,,,
134,BI,Biology,701,2015.0,Fall,Fall2015,2015_2016,BI 0352L,Fundamentals of Microbiology Lab,,,,,,
135,BI,Biology,870,2016.0,Spring,Spring2016,2015_2016,BI 0357,General Virology,,,,,,
136,BI,Biology,995,2015.0,Fall,Fall2015,2015_2016,BI 0362,Marine Invertebrate Zoology,,,,,,
137,BI,Biology,996,2015.0,Fall,Fall2015,2015_2016,BI 0362L,Marine Invertebrate Zoology Lab,,,,,,
138,BI,Biology,952,2016.0,Spring,Spring2016,2015_2016,BI 0364,Freshwater Ecology,,,,,,
139,BI,Biology,953,2016.0,Spring,Spring2016,2015_2016,BI 0364L,Freshwater Ecology Lab,,,,,,
140,BI,Biology,1013,2015.0,Fall,Fall2015,2015_2016,BI 0365,Evolutionary Biology,,,,,,
141,BI,Biology,1014,2015.0,Fall,Fall2015,2015_2016,BI 0365L,Evolutionary Biology Lab,,,,,,
142,BI,Biology,910,2016.0,Spring,Spring2016,2015_2016,BI 0381A,Special Topics Seminar: Biology of Cancer,,,,,,
143,BI,Biology,7014,2015.0,Fall,Fall2015,2015_2016,BI 0381B,Special Topics Seminar: Molecular Mechanisms of Disease,,,,,,
144,BI,Biology,881,2015.0,Fall,Fall2015,2015_2016,BI 0381D,Special Topics Seminar: Nutritional Epigenetics,,,,,,
145,BI,Biology,1007,2016.0,Spring,Spring2016,2015_2016,BI 0383A,Special Topics Seminar: Coral Reef Ecology,,,,,,
146,BI,Biology,855,2015.0,Fall,Fall2015,2015_2016,BI 0391,Biology Research I,,,,,,
147,BI,Biology,856,2015.0,Fall,Fall2015,2015_2016,BI 0392,Biology Research II,,,,,,
148,BI,Biology,858,2015.0,Fall,Fall2015,2015_2016,BI 0393,Biology Research III,,,,,,
149,BI,Biology,859,2015.0,Fall,Fall2015,2015_2016,BI 0394,Biology Research IV,,,,,,
150,IN,Interior Design,3704,2016.0,Summer,Summer2016,2015_2016,IN 0107,Color Design,,,,,,
151,IN,Interior Design,7379,2015.0,Fall,Fall2015,2015_2016,IN 0109,CADD: Computer-Aided Design and Drafting,,,,,,
152,IN,Interior Design,3688,2015.0,Fall,Fall2015,2015_2016,IN 0110,Interior Design I,,,,,,
153,IN,Interior Design,8424,2016.0,Spring,Spring2016,2015_2016,IN 0111,Textiles for Interiors,,,,,,
154,IN,Interior Design,3721,2015.0,Fall,Fall2015,2015_2016,IN 0114,History of Furniture II,,,,,,
155,IN,Interior Design,3732,2015.0,Fall,Fall2015,2015_2016,IN 0119,Drawing and Presentation,,,,,,
156,IN,Interior Design,3748,2016.0,Spring,Spring2016,2015_2016,IN 0121,Sustainable Design,,,,,,
157,IN,Interior Design,3709,2016.0,Summer,Summer2016,2015_2016,IN 0122,Rendering,,,,,,
158,IN,Interior Design,3745,2016.0,Spring,Spring2016,2015_2016,IN 0211,Interior Design II,,,,,,
159,IN,Interior Design,3736,2015.0,Fall,Fall2015,2015_2016,IN 0212,Interior Design III,,,,,,
160,IN,Interior Design,3692,2015.0,Fall,Fall2015,2015_2016,IN 0213,Interior Design IV,,,,,,
161,IN,Interior Design,3705,2016.0,Summer,Summer2016,2015_2016,IN 0215,Lighting for Interiors,,,,,,
162,IN,Interior Design,3753,2016.0,Summer,Summer2016,2015_2016,IN 0219,Interior Design VI,,,,,,
163,IN,Interior Design,3707,2016.0,Summer,Summer2016,2015_2016,IN 0220,Perspective Techniques,,,,,,
164,IN,Interior Design,3686,2015.0,Fall,Fall2015,2015_2016,IN 0221,Business of Interior Design,,,,,,
165,TA,Theatre,6908,2015.0,Fall,Fall2015,2015_2016,TA 0011,Introduction to Theatre,,,,,,
166,TA,Theatre,359,2016.0,Spring,Spring2016,2015_2016,TA 0030,Acting I,,,,,,
167,TA,Theatre,7797,2016.0,Spring,Spring2016,2015_2016,TA 0094,Theatre Fairfield: Performance Practicum,,,,,,
168,TA,Theatre,6932,2016.0,Spring,Spring2016,2015_2016,TA 0095,Theatre Fairfield: Production Practicum,,,,,,
169,TA,Theatre,355,2015.0,Fall,Fall2015,2015_2016,TA 0110,World Theatre I,,,,,,
170,TA,Theatre,361,2016.0,Spring,Spring2016,2015_2016,TA 0120,American Drama,,,,,,
171,TA,Theatre,354,2015.0,Fall,Fall2015,2015_2016,TA 0123,American Women Playwrights,,,,,,
172,TA,Theatre,7800,2015.0,Fall,Fall2015,2015_2016,TA 0150,Stagecraft,,,,,,
173,TA,Theatre,6930,2016.0,Spring,Spring2016,2015_2016,TA 0155,Design I,,,,,,
174,TA,Theatre,6926,2015.0,Fall,Fall2015,2015_2016,TA 0158,Scene Painting,,,,,,
175,TA,Theatre,6915,2015.0,Fall,Fall2015,2015_2016,TA 0230,Acting II,,,,,,
176,TA,Theatre,6911,2016.0,Spring,Spring2016,2015_2016,TA 0253,Costume Design,,,,,,
177,TA,Theatre,6927,2015.0,Fall,Fall2015,2015_2016,TA 0310,Techniques and Theory of Production,,,,,,
178,TX,Taxation,6905,2015.0,Fall,Fall2015,2015_2016,TX 0502,Taxation Property Transactions,,,,,,
179,TX,Taxation,212,2015.0,Fall,Fall2015,2015_2016,TX 0510,Entity Taxation,,,,,,
180,TX,Taxation,7789,2015.0,Fall,Fall2015,2015_2016,TX 0530,Partnership Taxation,,,,,,
181,TX,Taxation,8296,2016.0,Winter,Winter2016,2015_2016,TX 0540,State and Local Taxation,,,,,,
182,TX,Taxation,229,2016.0,Spring,Spring2016,2015_2016,TX 0542,International Taxation,,,,,,
183,TX,Taxation,7792,2016.0,Spring,Spring2016,2015_2016,TX 0550,Tax Planning,,,,,,
184,SL,TESOL and Bilingual Education,6873,2015.0,Fall,Fall2015,2015_2016,SL 0419,Special Learners in the Bilingual/ESL Classroom,,,,,,
185,SL,TESOL and Bilingual Education,7784,2016.0,Summer,Summer2016,2015_2016,SL 0421,Linguistics for Lang Teachers,,,,,,
186,SL,TESOL and Bilingual Education,8518,2016.0,Summer,Summer2016,2015_2016,SL 0422,Teaching Grammar in Second Language Settings,,,,,,
187,SL,TESOL and Bilingual Education,6885,2015.0,Fall,Fall2015,2015_2016,SL 0423,Principles of Bilingualism,,,,,,
188,SL,TESOL and Bilingual Education,6898,2015.0,Fall,Fall2015,2015_2016,SL 0436,TESOL Methods and Materials Development,,,,,,
189,SL,TESOL and Bilingual Education,2003,2016.0,Spring,Spring2016,2015_2016,SL 0441,Teaching and Learning within Multicultural Contexts of Education,,,,,,
190,SL,TESOL and Bilingual Education,6900,2016.0,Spring,Spring2016,2015_2016,SL 0451,Infusing Content Language Instruction into TESOL/Bilingual Programs,,,,,,
191,SL,TESOL and Bilingual Education,7779,2015.0,Fall,Fall2015,2015_2016,SL 0453,Differentiated Instruction for English Language Learners,,,,,,
192,SL,TESOL and Bilingual Education,8270,2016.0,Summer,Summer2016,2015_2016,SL 0461,Reading and Writing in a Second Language,,,,,,
193,SL,TESOL and Bilingual Education,6889,2016.0,Spring,Spring2016,2015_2016,SL 0467,Language Acquisition,,,,,,
194,SL,TESOL and Bilingual Education,7781,2016.0,Spring,Spring2016,2015_2016,SL 0475,Sociolinguistics,,,,,,
195,SL,TESOL and Bilingual Education,6893,2016.0,Summer,Summer2016,2015_2016,SL 0477,Culture and Second Language Acquisition,,,,,,
196,SL,TESOL and Bilingual Education,6902,2016.0,Summer,Summer2016,2015_2016,SL 0522,Emergent Literacy in Bilingual Early Childhood Education,,,,,,
197,SL,TESOL and Bilingual Education,7786,2015.0,Fall,Fall2015,2015_2016,SL 0527,Testing and Assessment in TESOL and Bilingual Programs,,,,,,
198,SL,TESOL and Bilingual Education,8515,2016.0,Spring,Spring2016,2015_2016,SL 0528,Second Language Curriculum Development,,,,,,
199,SL,TESOL and Bilingual Education,6878,2016.0,Spring,Spring2016,2015_2016,SL 0582,TESOL/Bilingual Student Teaching and DSAP I Seminar,,,,,,
200,SL,TESOL and Bilingual Education,6884,2015.0,Fall,Fall2015,2015_2016,SL 0590,CAS Advanced Practicum,,,,,,
201,SW,Software Engineering,6432,2015.0,Fall,Fall2015,2015_2016,SW 0201,Software Engineering Methods,,,,,,
202,SW,Software Engineering,6430,2015.0,Fall,Fall2015,2015_2016,SW 0202,Software Design Methods,,,,,,
